week_id,week,total_transactions
134,"Week 30, 20 - 26 Jul 2020",93
135,"Week 31, 27 - 2 Aug 2020",63
136,"Week 32, 3 - 9 Aug 2020",77
137,"Week 33, 10 - 16 Aug 2020",78
138,"Week 34, 17 - 23 Aug 2020",59
139,"Week 35, 24 - 30 Aug 2020",99
140,"Week 36, 31 - 6 Sep 2020",75
141,"Week 37, 7 - 13 Sep 2020",83
142,"Week 38, 14 - 20 Sep 2020",52
143,"Week 39, 21 - 27 Sep 2020",79
144,"Week 40, 28 - 4 Oct 2020",63
145,"Week 41, 5 - 11 Oct 2020",69
146,"Week 42, 12 - 18 Oct 2020",64
147,"Week 43, 19 - 25 Oct 2020",64
148,"Week 44, 26 - 1 Nov 2020",61
149,"Week 45, 2 - 8 Nov 2020",61
150,"Week 46, 9 - 15 Nov 2020",56
151,"Week 47, 16 - 22 Nov 2020",63
152,"Week 48, 23 - 29 Nov 2020",79
153,"Week 49, 30 - 6 Dec 2020",76
154,"Week 50, 7 - 13 Dec 2020",58
155,"Week 51, 14 - 20 Dec 2020",63
156,"Week 52, 21 - 27 Dec 2020",47
157,"Week 53, 28 - 3 Jan 2021",35
158,"Week 1, 4 - 10 Jan 2021",54
159,"Week 2, 11 - 17 Jan 2021",62
160,"Week 3, 18 - 24 Jan 2021",70
161,"Week 4, 25 - 31 Jan 2021",70
162,"Week 5, 1 - 7 Feb 2021",51
163,"Week 6, 8 - 14 Feb 2021",58
164,"Week 7, 15 - 21 Feb 2021",64
165,"Week 8, 22 - 28 Feb 2021",89
166,"Week 9, 1 - 7 Mar 2021",72
167,"Week 10, 8 - 14 Mar 2021",50
168,"Week 11, 15 - 21 Mar 2021",78
169,"Week 12, 22 - 28 Mar 2021",77
170,"Week 13, 29 - 4 Apr 2021",64
171,"Week 14, 5 - 11 Apr 2021",72
172,"Week 15, 12 - 18 Apr 2021",38
173,"Week 16, 19 - 25 Apr 2021",81
174,"Week 17, 26 - 2 May 2021",67
175,"Week 18, 3 - 9 May 2021",63
176,"Week 19, 10 - 16 May 2021",50
177,"Week 20, 17 - 23 May 2021",67
178,"Week 21, 24 - 30 May 2021",56
179,"Week 22, 31 - 6 Jun 2021",51
180,"Week 23, 7 - 13 Jun 2021",67
181,"Week 24, 14 - 20 Jun 2021",56
182,"Week 25, 21 - 27 Jun 2021",55
183,"Week 26, 28 - 4 Jul 2021",50
184,"Week 27, 5 - 11 Jul 2021",53
185,"Week 28, 12 - 18 Jul 2021",51
186,"Week 29, 19 - 25 Jul 2021",44
187,"Week 30, 26 - 1 Aug 2021",56
188,"Week 31, 2 - 8 Aug 2021",76
189,"Week 32, 9 - 15 Aug 2021",59
190,"Week 33, 16 - 22 Aug 2021",52
191,"Week 34, 23 - 29 Aug 2021",47
192,"Week 35, 30 - 5 Sep 2021",72
193,"Week 36, 6 - 12 Sep 2021",71
194,"Week 37, 13 - 19 Sep 2021",60
195,"Week 38, 20 - 26 Sep 2021",60
196,"Week 39, 27 - 3 Oct 2021",78
197,"Week 40, 4 - 10 Oct 2021",71
198,"Week 41, 11 - 17 Oct 2021",80
199,"Week 42, 18 - 24 Oct 2021",72
200,"Week 43, 25 - 31 Oct 2021",80
201,"Week 44, 1 - 7 Nov 2021",89
202,"Week 45, 8 - 14 Nov 2021",62
203,"Week 46, 15 - 21 Nov 2021",86
204,"Week 47, 22 - 28 Nov 2021",117
205,"Week 48, 29 - 5 Dec 2021",101
206,"Week 49, 6 - 12 Dec 2021",103
207,"Week 50, 13 - 19 Dec 2021",90
208,"Week 51, 20 - 26 Dec 2021",71
209,"Week 52, 27 - 2 Jan 2022",85
210,"Week 53, 1 - 7 Jan 2021",12
211,"Week 1, 3 - 9 Jan 2022",72
212,"Week 2, 10 - 16 Jan 2022",90
213,"Week 3, 17 - 23 Jan 2022",62
214,"Week 4, 24 - 30 Jan 2022",81
215,"Week 5, 31 - 6 Feb 2022",54
216,"Week 6, 7 - 13 Feb 2022",60
217,"Week 7, 14 - 20 Feb 2022",75
218,"Week 8, 21 - 27 Feb 2022",73
219,"Week 9, 28 - 6 Mar 2022",29
220,"Week 10, 7 - 13 Mar 2022",75
221,"Week 11, 14 - 20 Mar 2022",77
222,"Week 12, 21 - 27 Mar 2022",79
223,"Week 13, 28 - 3 Apr 2022",80
224,"Week 14, 4 - 10 Apr 2022",84
225,"Week 15, 11 - 17 Apr 2022",62
226,"Week 16, 18 - 24 Apr 2022",83
227,"Week 17, 25 - 1 May 2022",69
228,"Week 18, 2 - 8 May 2022",76
229,"Week 19, 9 - 15 May 2022",107
230,"Week 20, 16 - 22 May 2022",87
231,"Week 21, 23 - 29 May 2022",86
232,"Week 22, 30 - 5 Jun 2022",73
233,"Week 23, 6 - 12 Jun 2022",62
234,"Week 24, 13 - 19 Jun 2022",93
235,"Week 25, 20 - 26 Jun 2022",83
236,"Week 26, 27 - 3 Jul 2022",97
237,"Week 27, 4 - 10 Jul 2022",66
238,"Week 28, 11 - 17 Jul 2022",82
